コード,銘柄名,市場,業種,規模,終値,平均売買代金(百万円),テクニカル一致数,候補根拠,株価基準日,取得日時
1928,積水ハウス,プライム（内国株式）,建設業,TOPIX Large70,3349.0,8342.376065,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:20.121762+09:00
1929,日特建設,プライム（内国株式）,建設業,TOPIX Small 2,1236.0,108.282555,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.124216+09:00
1930,北陸電気工事,プライム（内国株式）,建設業,TOPIX Small 2,1611.0,82.460785,3,株価が25日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.128139+09:00
1934,ユアテック,プライム（内国株式）,建設業,TOPIX Small 1,2613.0,347.8506,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.130295+09:00
1938,日本リーテック,プライム（内国株式）,建設業,TOPIX Small 2,2636.0,194.037015,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.133680+09:00
1939,四電工,プライム（内国株式）,建設業,TOPIX Small 2,2345.0,236.042865,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.137648+09:00
1941,中電工,プライム（内国株式）,建設業,TOPIX Small 1,5180.0,402.06735,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.141244+09:00
1942,関電工,プライム（内国株式）,建設業,TOPIX Mid400,5622.0,4222.434865,2,株価が25日線より上／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.144214+09:00
1944,きんでん,プライム（内国株式）,建設業,TOPIX Mid400,7011.0,4154.569155,1,株価が25日線より上,2026-09-24,2026-09-24T20:36:20.146857+09:00
1945,東京エネシス,プライム（内国株式）,建設業,TOPIX Small 2,2165.0,328.04641,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.149061+09:00
1946,トーエネック,プライム（内国株式）,建設業,TOPIX Small 2,2275.0,364.845235,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.150971+09:00
1948,弘電社,スタンダード（内国株式）,建設業,-,11450.0,42.613,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.154188+09:00
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース（内国株式）,サービス業,-,1670.0,157.28496,1,25日線が75日線より上,2026-09-24,2026-09-24T20:36:20.156763+09:00
1950,日本電設工業,プライム（内国株式）,建設業,TOPIX Small 1,4095.0,379.857375,3,株価が25日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.159057+09:00
1951,エクシオグループ,プライム（内国株式）,建設業,TOPIX Mid400,2605.0,1103.545905,1,株価が25日線より上,2026-09-24,2026-09-24T20:36:20.161714+09:00
